OBJECTID,PARK_CAT,TMK,PARK_TYPE,PARK_NAME,MAIN_DIST,LINK_ID,NAME,LEGAL_ACRES,DEDICATED,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,ShapeSTArea,ShapeSTLength
388,1,42018014,Mini Park,Kaelepulu Mini Park,4,83,Kaelepulu Mini Park,1.63999999,,{D4C15A62-BB54-4EF8-B81C-F9E1E5EAAB5C},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,70314.3625488281,1158.80751066895
389,1,91026027,Beach Park,Barbers Point Beach Park,3,154,Barbers Point Beach Park,7.38999987,,{4F9E5D35-20D5-43BC-9565-616275CDEE09},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,325211.869514465,2717.63590509661
390,4,59006035,Miscellaneous,Pupukea-Paumalu Park,4,417,Pupukea-Paumalu Park,25.88,,{461BBEDC-6963-417F-B4E8-956B7FA4EB9D},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,1127335.37741089,4274.68707281925
391,1,32025001,Community Park,Kapaolono Community Park,1,77,Kapaolono Community Park,5.5,,{78BB2EFC-6E8D-437A-A723-924538F10EE1},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,239860.0744133,1999.33452288616
392,1,19001001,Miscellaneous,Nuuanu Nursery,2,312,Nuuanu Nursery,57.93999863,,{99DA02ED-A9C7-4A64-8CAE-2CECE3E6FD4A},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,2545475.32304382,7137.03219320397
393,1,39098090,Neighborhood Park,Kamilo Iki Neighborhood Park,1,185,Kamilo Iki Neighborhood Park,7.19000006,,{5DC3F5AC-99C0-4DBB-B7DC-C53BFDFE851B},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,313957.381690979,2231.80312701381
394,3,39010042,Miscellaneous,Ka Iwi (Hawaii Kai) Park (future),1,9037,Ka Iwi (Hawaii Kai) Park (future),29.65999985,N,{B05B8EF8-4BAC-4627-9DDD-C6DB0A392509},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,1292161.36322784,8266.24989501882
395,1,99003039,Neighborhood Park,Makalapa Neighborhood Park,2,187,Makalapa Neighborhood Park,5.96999979,,{C589182B-085B-414E-8BC9-0A396DF73A9C},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,259637.561164856,2463.01403567206
396,1,56002016,Golf Course,Kahuku Golf Course,4,92,Kahuku Golf Course,68,,{E22F6805-7AA1-4DF1-A841-91A29CF143F3},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,3771600.8270874,9382.16032073161
397,1,31043000,Regional Park,Kapiolani Regional Park,1,4,Kapiolani Regional Park,154.72999573,,{EC699710-56A3-4BFB-B90A-A8C9B094562F},mpc,2013-07-08T12:31:04.000Z,gmasaki,2016-09-06T09:41:28.000Z,5331034.25158691,19323.6142668607
398,4,,Beach Park,Laniakea Beach Support Park (undevel),4,191,Laniakea Beach Support Park (undevel),1.88999999,,{77145D09-06AF-49B8-B38B-DD46B636E124},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,82492.6577758789,1518.19150507324
399,1,,Beach Park,Chuns Reef Beach Support Park (undevel),4,411,Chuns Reef Beach Support Park (undevel),3,,{870073C5-1A4E-4985-9A17-5CB5C126A19D},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,84388.842666626,1458.08024635654
