objectid,ahupuaa,moku,mokupuni,other,gisacres,createdby,agency,publishdat,createdate,modifiedda,modifiedby,deliveryda,sourceid,severity,comments,st_areashape,st_lengthshape
120,East ʻŌhiʻa,Kona,Molokaʻi, ,335.3747, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1357208.17713258,0
419,Waikahekahe,Puna,Hawaiʻi, ,2908.449, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,11770000.2307729,0
121,Manawai,Kona,Molokaʻi, ,543.0365, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2197582.43720715,0
122,‘Ualapu‘e,Kona,Molokaʻi, ,704.1404, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2849544.66654052,0
423,Kīʻao,Kaʻū,Hawaiʻi, ,1985.760, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,8036033.21427579,0
123,Kahananui,Kona,Molokaʻi, ,312.2198, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1263504.02543476,0
124,West ʻŌhiʻa,Kona,Molokaʻi, ,352.5748, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1426814.27047211,0
125,Keawanui,Kona,Molokaʻi, ,456.8196, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1848675.98443118,0
424,Palauhulu 1-2,Kaʻū,Hawaiʻi, ,380.9877, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1541793.58622589,0
425,"Kamāʻoa, Puʻuʻeo, Ke",Kaʻū,Hawaiʻi, ,14685.10, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,59428431.0945401,0
126,Kaʻamola,Kona,Molokaʻi, ,676.6629, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2738346.53524068,0
127,Kīloa,Koʻolau,Molokaʻi, ,150.9429, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,610841.539754349,0
128,Pālāʻau,Kona,Molokaʻi, ,231.4439, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,936611.477074221,0
129,Pālāʻau,Kona,Molokaʻi, ,637.5697, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2580138.56804797,0
130,Punalau,Koʻolauloa,Oʻahu, ,159.4913, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,645434.071191353,0
131,Kahuku,Koʻolauloa,Oʻahu, ,4258.791, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,17234605.4362165,0
132,Hanakaʻoe,Koʻolauloa,Oʻahu, ,723.7455, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2928876.22845331,0
133,ʻŌiʻo 2,Koʻolauloa,Oʻahu, ,745.4891, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,3016867.75611538,0
134,ʻŌiʻo 1,Koʻolauloa,Oʻahu, ,890.0386, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,3601835.81803263,0
135,Kawela,Koʻolauloa,Oʻahu, ,693.3522, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2805885.17383349,0
136,Pahipahiʻālua,Koʻolauloa,Oʻahu, ,713.2859, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2886554.8427783,0
137,ʻŌpana 1,Koʻolauloa,Oʻahu, ,95.95673, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,388321.438068605,0
138,ʻŌpana 2,Koʻolauloa,Oʻahu, ,79.72809, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,322646.918366877,0
140,Keana,Koʻolauloa,Oʻahu, ,1456.233, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,5893131.01517586,0
142,Paumalū,Koʻolauloa,Oʻahu, ,2219.102, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,8980357.20057916,0
